title,portal_title,parent_and_id_1,parent_and_id_2,type,url,begin,nuts,ags,rs,gml,wikidata,accountable,email,twitter,facebook,hosting,technology,api,api_list_children,dcat_ap_de,last_check
,Hamm,,,municipality,https://daten.rlp.de/organization/verbandsgemeinde_hamm,,DEB23,07232046,072325008046,,,,,,,,,,,,2021-03-03
,Harsewinkel,,,municipality,https://www.o-sp.de/harsewinkel/opendata.php,,DEA42,05754016,057540016016,,,,,,,,,,,,2021-03-03
,Hattingen,,,municipality,https://www.o-sp.de/hattingen/opendata.php,,DEA56,05954016,059540016016,,,,,,,,,,,,2021-03-03
Heerlen,Heerlen,offenedaten.aachen.de|gemeinde-heerlen,,municipality,https://www.heerlen.nl,,,,,,Q9799,,,,,,,,,,2023-02-05
,Heilbronn,,,municipality,https://opendata.heilbronn.de,2020-12-20,DE117,08121000,081210000000,,,Thomas Laue,opendata@heilbronn.de,,,Stadt Köln,DKAN,https://opendata.heilbronn.de/api/3/action/package_list,,https://opendata.heilbronn.de/catalog.xml,2021-05-13
,Heiligenhaus,,,municipality,https://www.o-sp.de/heiligenhaus/opendata,,DEA1C,05158012,051580012012,,,,,,,,,,,,2021-03-03
,Heimbach (Eifel),,,municipality,http://offenedaten.kdvz-frechen.de/group/heimbach,2016-11-08,,,,,,,offene-daten@kdvz-frechen.de,https://twitter.com/OpenDataKDVZ,,Stadt Köln,DKAN,,,,2019-08-10
,Hennef,,,municipality,via Musterdatenkatalog Deutschland,,DEA2C,05382020,053820020020,,,,,,,,,,,,
,Herne,,,municipality,https://opendata.herne.de/,,DEA55,05916000,059160000000,,,,opendata@herne.de,,,,GeoNetwork,https://opendata.herne.de/katalogopendata/doc/api/index.html,,,2021-03-04
,Hilden,,,municipality,via Musterdatenkatalog Deutschland,,DEA1C,05158016,051580016016,,,,,,,,,,,,
,Hohenleimbach,,,municipality,https://daten.rlp.de/organization/ortsgemeinde_hohenleimbach,,DEB12,07131206,071315004206,,,,,,,,,,,,2021-03-03
,Holzwickede,,,municipality,https://www.holzwickede.de/seite/307793/open-data.html,,DEA5C,05978016,059780016016,,,Frau Koch,opendata@holzwickede.de,,,,,,,,2021-03-03
,Hürtgenwald,,,municipality,http://offenedaten.kdvz-frechen.de/group/h%C3%BCrtgenwald,2016-11-08,DEA26,05358016,053580016016,,,,offene-daten@kdvz-frechen.de,https://twitter.com/OpenDataKDVZ,,Stadt Köln,DKAN,,,,2019-08-10
,Hürth,,,municipality,https://www.o-sp.de/huerth/opendata.php,,DEA27,05362028,053620028028,,,,,,,,,,,,2021-03-03
,Ingolstadt,,,municipality,https://www.ingolstadt.de/Service/Weitere-Themen/Open-Data/,,DE211,09161000,091610000000,,,,,,,,,,,,2021-03-04
,Iserlohn,,,municipality,via Musterdatenkatalog Deutschland,,DEA58,05962024,059620024024,,,,,,,,,,,,
,Jena,,,municipality,https://opendata.jena.de/,2016-12-20,DEG03,16053000,160530000000,,,,info@jena.de,,,IT-Service - Kommunale Immobilien Jena,CKAN,https://opendata.jena.de/api/3/action/package_list,,,2019-08-10
,Jockgrim,,,municipality,https://daten.rlp.de/organization/verbandsgemeinde_jockgrim,,DEB3E,07334012,073345003012,,,,,,,,,,,,2021-03-03
,Jüchen,,,municipality,https://www.o-sp.de/juechen/opendata.php,,DEA1D,05162012,051620012012,,,,,,,,,,,,2021-03-03
,Jülich,,,municipality,http://offenedaten.kdvz-frechen.de/group/j%C3%BClich,2016-11-08,DEA26,05358024,053580024024,,,,offene-daten@kdvz-frechen.de,https://twitter.com/OpenDataKDVZ,,Stadt Köln,DKAN,,,,2019-08-10
,Kaarst,,,municipality,https://www.o-sp.de/kaarst/opendata,,DEA1D,05162016,051620016016,,,,,,,,,,,,2021-03-03
,Kall,,,municipality,http://offenedaten.kdvz-frechen.de/group/kall,2016-11-08,DEA28,05366024,053660024024,,,,offene-daten@kdvz-frechen.de,https://twitter.com/OpenDataKDVZ,,Stadt Köln,DKAN,,,,2019-08-10
,Kamen,,,municipality,https://www.o-sp.de/kamen/opendata,,DEA5C,05978020,059780020020,,,,,,,,,,,,2021-03-03
,Karlsruhe,,,municipality,https://transparenz.karlsruhe.de/,2016-07-14,DE122,08212000,082120000000,,,Sven Klenert,transparenz@karlsruhe.de,,,Stadt Karlsruhe,CKAN,https://transparenz.karlsruhe.de/api/3/action/package_list,,,2019-11-12
,Kastellaun,,,municipality,https://daten.rlp.de/organization/verbandsgemeinde_kastellaun,,DEB1D,07140064,071405003064,,,,,,,,,,,,2021-03-03
,Kempenich,,,municipality,https://daten.rlp.de/organization/ortsgemeinde_kempenich,,DEB12,07131502,071315004502,,,,,,,,,,,,2021-03-03
,Kerpen,,,municipality,http://offenedaten.kdvz-frechen.de/group/kerpen,2016-11-08,DEA27,05362032,053620032032,,,,offene-daten@kdvz-frechen.de,https://twitter.com/OpenDataKDVZ,,Stadt Köln,DKAN,,,,2019-08-10
,Kiel,,,municipality,https://opendata.schleswig-holstein.de/organization/landeshauptstadt-kiel,,DEF02,01002000,010020000000,,,,,,,Dataport,CKAN,,,,2019-08-11
,Kirchberg,,,municipality,https://daten.rlp.de/organization/verbandsgemeinde_kirchberg,,DED45,14524130,145245111130,,,,,,,,,,,,2021-03-03
,Kleve,,,municipality,https://www.offenesdatenportal.de/organization/stadt-kleve,,DEA1B,05154036,051540036036,,,,,,,KRZN,CKAN,https://www.offenesdatenportal.de/api/3/action/organization_activity_list?id=stadt-kleve,,,2019-03-12
,Kollweiler,,,municipality,https://daten.rlp.de/organization/ortsgemeinde_kollweiler,,DEB3F,07335019,073355009019,,,,,,,,,,,,2021-03-03
,Köln,,,municipality,http://offenedaten-koeln.de/,2012,DEA23,05315000,053150000000,,,Sabine Möwes,I/D2-Poststelle@stadt-koeln.de,https://twitter.com/OpenDataKoeln,,Stadt Köln,DKAN,https://offenedaten-koeln.de/api/3/action/package_list,,https://offenedaten-koeln.de/catalog.xml,2019-11-04
,Königsfeld,,,municipality,https://daten.rlp.de/organization/ortsgemeinde_koenigsfeld,,DED43,14522280,145225126280,,,,,,,,,,,,2021-03-03
,Konstanz,,,municipality,https://offenedaten-konstanz.de/,2019-04-09,DE138,08335043,083355004043,,,Eberhard Baier,offenedaten@konstanz.de,,,Stadt Köln,DKAN,https://offenedaten-konstanz.de/api/3/action/package_list,,https://offenedaten-konstanz.de/catalog.xml,2020-06-29
,Krefeld,,,municipality,https://www.offenesdatenportal.de/organization/krefeld,2016-01-13,DEA14,05114000,051140000000,,,Florian Reykers,florian.reykers@krefeld.de,,,KRZN,CKAN,https://www.offenesdatenportal.de/api/3/action/organization_activity_list?id=krefeld,,,2019-03-12
,Kreuzau,,,municipality,http://offenedaten.kdvz-frechen.de/group/kreuzau,2016-11-08,DEA26,05358028,053580028028,,,,offene-daten@kdvz-frechen.de,https://twitter.com/OpenDataKDVZ,,Stadt Köln,DKAN,,,,2019-08-10
,Landau,,,municipality,https://daten.rlp.de/organization/stadt_landau,,,,,,,,,,,,,,,,2021-03-03
,Langerwehe,,,municipality,http://offenedaten.kdvz-frechen.de/group/langerwehe,2016-11-08,DEA26,05358032,053580032032,,,,offene-daten@kdvz-frechen.de,https://twitter.com/OpenDataKDVZ,,Stadt Köln,DKAN,,,,2019-08-10
,Leipzig,,,municipality,https://opendata.leipzig.de,,DED51,14713000,147130000000,,,,,,,Lecos GmbH,CKAN,https://opendata.leipzig.de/api/3/action/package_list,,,2019-08-10
,Lemgo,,,municipality,https://www.o-sp.de/lemgo/opendata,,DEA45,05766044,057660044044,,,,,,,,,,,,2021-03-03
,Lengerich,,,municipality,https://www.o-sp.de/lengerich/opendata,,DEA37,05566040,055660040040,,,,,,,,,,,,2021-03-03
,Linnich,,,municipality,http://offenedaten.kdvz-frechen.de/group/linnich,2016-11-08,DEA26,05358036,053580036036,,,,offene-daten@kdvz-frechen.de,https://twitter.com/OpenDataKDVZ,,Stadt Köln,DKAN,,,,2019-08-10
,Lippstadt,,,municipality,https://www.o-sp.de/lippstadt/opendata.php,,DEA5B,05974028,059740028028,,,,,,,,,,,,2021-03-03
,Lüdenscheid,,,municipality,https://www.o-sp.de/luedenscheid/opendata,,DEA58,05962032,059620032032,,,,,,,,,,,,2021-03-03
,Mackenbach,,,municipality,https://daten.rlp.de/organization/about/ortsgemeinde_mackenbach,,DEB3F,07335024,073355009024,,,,,,,,,,,,2021-03-03
,Magdeburg,,,municipality,https://www.magdeburg.de/Start/B%C3%BCrger-Stadt/Verwaltung-Service/Offene-Verwaltungsdaten,,DEE03,15003000,150030000000,,,,,,,,Website,,,,2019-08-11
,Mainz,,,municipality,https://daten.rlp.de/organization/stadt_mainz,,DEB35,07315000,073150000000,,,,,,,,,,,,2021-03-03
,Mannheim,,,municipality,https://opendata.mannheim.de/,2015-11-24,DE126,08222000,082220000000,,,,opendata@mannheim.de,,,OpenDataSoft,OpenDataSoft,https://mannheim.opendatasoft.com/api/v2/catalog/datasets,,,2019-07-29
,Mayen,,,municipality,https://daten.rlp.de/organization/stadt_mayen,,DEB17,07137068,071370068068,,,,,,,,,,,,2021-03-03
,Meerbusch,,,municipality,https://opendata.meerbusch.de/,2017-02-11,DEA1D,05162022,051620022022,,,,opendata@meerbusch.de,https://twitter.com/OpenMeerbusch,,Viderum,CKAN,https://opendata.meerbusch.de/api/3/action/package_list,,,2019-03-24
,Meiningen,,,municipality,via Musterdatenkatalog Deutschland,,DEG0B,16066042,160665050042,,,,,,,,,,,,
,Meisenheim,,,municipality,https://daten.rlp.de/organization/verbandsgemeinde_meisenheim,,DEB14,07133065,071335005065,,,,,,,,,,,,2021-03-03
,Menden,,,municipality,via Musterdatenkatalog Deutschland,,,,,,,,,,,,,,,,
,Merzenich,,,municipality,http://offenedaten.kdvz-frechen.de/group/merzenich,2016-11-08,DEA26,05358040,053580040040,,,,offene-daten@kdvz-frechen.de,https://twitter.com/OpenDataKDVZ,,Stadt Köln,DKAN,,,,2019-08-10
,Minden,,,municipality,"https://www.minden.de/stadt_minden/de/B%C3%BCrger,%20Service,%20Politik/Offene%20Daten/Datens%C3%A4tze/",,DEB23,07232082,072325005082,,,,,,,,,,,,2021-03-04
,Mittenwalde,,,municipality,http://stadt-mittenwalde.opendata.arcgis.com/,,DE40I,12073404,120735305404,,,,,,,,ArcGIS,,,,2019-08-11
Moers,Moers,www.offenesdatenportal.de|moers,opendata.ruhr|moers,municipality,http://offenedaten.moers.de/,2015-08,,,051700024024,https://registry.gdi-de.org/id/de.bund.bkg.regschluessel/051700024024,Q3132,Stephan Bernoth und Thorsten Magerstedt,offenedaten@moers.de,https://twitter.com/opendatamoers,,KRZN,CKAN,https://www.offenesdatenportal.de/api/3/action/organization_activity_list?id=moers,,,2023-02-05
,Mönchengladbach,,,municipality,http://offenedaten.moenchengladbach.de/,2015-05-11,DEA15,05116000,051160000000,,,,offenedaten@moenchengladbach.de,https://twitter.com/OpenDataMG,,Stadt Mönchengladbach,TYPO3,,,,2019-03-24
,München,,,municipality,http://www.opengov-muenchen.de,2014-12-19,DE212,09162000,091620000000,,,,data.opengov@muenchen.de,https://twitter.com/opendata_muc,,,CKAN,https://www.opengov-muenchen.de/api/3/action/package_list,,,2019-07-31
,Münster (Westfalen),,,municipality,https://opendata.stadt-muenster.de/,2019-09,DEA33,05515000,055150000000,,,Thomas Werner,opendata@citeq.de,,,citeq,Drupal,https://opendata.stadt-muenster.de/api/3/action/package_list,,https://opendata.stadt-muenster.de/catalog.xml,2020-06-29
,Neubrandenburg,,,municipality,http://www.neubrandenburg.de/opendata/,,DE80J,13071107,130710107107,,,,,,,,,,,,
,Neuss,,,municipality,https://ckan.www.open.nrw.de/organization/neuss,,DEA1D,05162024,051620024024,,,,,,,,,,,,2021-03-03
,Niederzier,,,municipality,http://offenedaten.kdvz-frechen.de/group/niederzier,,DEA26,05358048,053580048048,,,,offene-daten@kdvz-frechen.de,https://twitter.com/OpenDataKDVZ,,Stadt Köln,DKAN,,,,2019-08-10
,Norderstedt,,,municipality,https://opendata.schleswig-holstein.de/organization/norderstedt,,DEF0D,01060063,010600063063,,,,,,,Dataport,CKAN,,,,2019-08-11
,Nörvenich,,,municipality,http://offenedaten.kdvz-frechen.de/group/n%C3%B6rvenich,,DEA26,05358052,053580052052,,,,offene-daten@kdvz-frechen.de,https://twitter.com/OpenDataKDVZ,,Stadt Köln,DKAN,,,,2019-08-10
,Obere Kyll,,,municipality,https://daten.rlp.de/organization/verbandsgemeinde_obere_kyll,,,,,,,,,,,,,,,,2021-03-03
,Oberhausen,,,municipality,https://opendata.ruhr/organization/oberhausen,,DE21N,09190135,091905177135,,,,,,,,,,,,2021-03-04
,Oelde,,,municipality,https://www.o-sp.de/oelde/opendata.php,,DEA38,05570028,055700028028,,,,,,,,,,,,2021-03-03
,Otterbach-Otterberg,,,municipality,https://daten.rlp.de/organization/verbandsgemeinde_otterbach_otterberg,,,,,,,,,,,,,,,,2021-03-03
,Potsdam,,,municipality,https://opendata.potsdam.de/,2018-01-11,DE404,12054000,120540000000,,,Stefanie Buchta,opendata@rathaus.potsdam.de,,,OpenDataSoft,OpenDataSoft,https://opendata.potsdam.de/api/v2/catalog/datasets,,,2019-07-31
,Puderbach,,,municipality,https://daten.rlp.de/organization/verbandsgemeinde_puderbach,,DEB18,07138057,071385005057,,,,,,,,,,,,2021-03-03
,Recklinghausen,,,municipality,https://opendata.ruhr/organization/recklinghausen,,DEA36,05562032,055620032032,,,,,,,,,,,,2021-03-04
Regionalverband Ruhr,Regionalverband Ruhr,ckan.open.nrw.de|rvr,,regionalNetwork,https://opendata.ruhr/,,,,,,Q49849,,,,,,,,https://opendata.ruhr/api/3/action/organization_list,,2023-02-05
,Reichenbach-Steegen,,,municipality,https://daten.rlp.de/organization/ortsgemeinde_reichenbach_steegen,,DEB3F,07335501,073355009501,,,,,,,,,,,,2021-03-03
,Remagen,,,municipality,https://daten.rlp.de/organization/stadt_remagen,,DEB12,07131070,071310070070,,,,,,,,,,,,2021-03-03
,Remscheid,,,municipality,via Musterdatenkatalog Deutschland,,DEA18,05120000,051200000000,,,,,,,,,,,,
,Rheda-Wiedenbrück,,,municipality,via Musterdatenkatalog Deutschland,,DEA42,05754028,057540028028,,,,,,,,,,,,
Rhein-Erft-Rur,Rhein-Erft-Rur,ckan.open.nrw.de|rhein-erft-rur,,regionalNetwork,https://offenedaten.kdvz-frechen.de/,,,,,,Q6292,,,,,,,,https://offenedaten.kdvz-frechen.de/api/3/action/group_list,,2023-02-05
,Rheinböllen,,,municipality,https://daten.rlp.de/organization/verbandsgemeinde_rheinboellen,,DEB1D,07140125,071405005125,,,,,,,,,,,,2021-03-03
Roetgen,Roetgen,offenedaten.aachen.de|gemeinde-roetgen,,municipality,https://offenedaten.aachen.de/organization/gemeinde-roetgen,,,,053340024024,https://registry.gdi-de.org/id/de.bund.bkg.regschluessel/053340024024,Q200743,,,,,,,,,,2023-02-05
,Rostock,,,municipality,http://www.opendata-hro.de/,,DE803,13003000,130030000000,,,,opendata.hro@rostock.de,,,,CKAN,https://www.opendata-hro.de/api/3/action/package_list,,https://www.opendata-hro.de/catalog.xml,2019-08-04
,"Sankt Goar-Oberwesel ",,,municipality,https://daten.rlp.de/organization/verbandsgemeinde_sankt_goar___oberwesel,,,,,,,,,,,,,,,,2021-03-03
,Schwalmtal,,,municipality,https://www.offenesdatenportal.de/organization/gemeinde-schwalmtal,,DE725,06535017,065350017017,,,,,,,,,,,,2021-03-03
,Schwedelbach,,,municipality,https://daten.rlp.de/organization/ortsgemeinde_schwedelbach,,DEB3F,07335043,073355009043,,,,,,,,,,,,2021-03-03
,Selters,,,municipality,https://daten.rlp.de/organization/verbandsgemeinde_selters,,,,,,,,,,,,,,,,2021-03-03
,Siegburg,,,municipality,http://offenedaten.kdvz-frechen.de/group/siegburg,,DEA2C,05382060,053820060060,,,,offene-daten@kdvz-frechen.de,https://twitter.com/OpenDataKDVZ,,Stadt Köln,DKAN,,,,2019-08-10
,Siegen,,,municipality,via Musterdatenkatalog Deutschland,,DEA5A,05970040,059700040040,,,,,,,,,,,,
Simmerath,Simmerath,offenedaten.aachen.de|gemeinde-simmerath,,municipality,https://offenedaten.aachen.de/organization/gemeinde-simmerath,,,,053340028028,https://registry.gdi-de.org/id/de.bund.bkg.regschluessel/053340028028,Q200836,,,,,,,,,,2023-02-05
,Simmern,,,municipality,https://daten.rlp.de/organization/verbandsgemeinde_simmern,,DEB1B,07143071,071435004071,,,,,,,,,,,,2021-03-03
,Stadt Mülheim an der Ruhr,,,municipality,http://open.muelheim-ruhr.de,2014-12-19,DEA16,05117000,051170000000,,,,,https://twitter.com/Muelheim_Ruhr,https://www.facebook.com/MuelheimRuhr,Stadt Mülheim an der Ruhr,DKAN,https://geo.muelheim-ruhr.de/api/3/action/package_list,,,2019-11-07
